"sect","title","authors","views","issue","year","page_order"
"Applications and Case Studies","A Functional Approach to Deconvolve Dynamic Neuroimaging Data","Ci-Ren Jiang#John A. D. Aston#Jane-Ling Wang",684,513,2016,1
"Applications and Case Studies","A Bayesian Partial Identification Approach to Inferring the Prevalence of Accounting Misconduct","P. Richard Hahn#Jared S. Murray#Ioanna Manolopoulou",192,513,2016,2
"Applications and Case Studies","Meta-Analytic Framework for Sparse K-Means to Identify Disease Subtypes in Multiple Transcriptomic Studies","Zhiguang Huo#Ying Ding#Silvia Liu#Steffi Oesterreich#George Tseng",176,513,2016,3
"Applications and Case Studies","Collective Estimation of Multiple Bivariate Density Functions With Application to Angular-Sampling-Based Protein Loop Modeling","Mehdi Maadooliat#Lan Zhou#Seyed Morteza Najibi#Xin Gao#Jianhua Z. Huang",122,513,2016,4
"Applications and Case Studies","Calibrating an Ice Sheet Model Using High-Dimensional Binary Spatial Data","Won Chang#Murali Haran#Patrick Applegate#David Pollard",184,513,2016,5
"Applications and Case Studies","Perturbation Detection Through Modeling of Gene Expression on a Latent Biological Pathway Network: A Bayesian Hierarchical Approach","Lisa M. Pham#Luis Carvalho#Scott Schaus#Eric D. Kolaczyk",151,513,2016,6
"Applications and Case Studies","A Model-Based Approach to Climate Reconstruction Using Tree-Ring Data","Matthew R. Schofield#Richard J. Barker#Andrew Gelman#Edward R. Cook#Keith R. Briffa",230,513,2016,7
"Theory and Methods","Constrained Maximum Likelihood Estimation for Model Calibration Using Summary-Level Information From External Big Data Sources","Nilanjan Chatterjee#Yi-Hau Chen#Paige Maas#Raymond J. Carroll",499,513,2016,8
"Theory and Methods","Comment","Peisong Han#Jerald F. Lawless",55,513,2016,9
"Theory and Methods","Comment","Sebastien Haneuse#Claudia Rivera",39,513,2016,10
"Theory and Methods","Comment","Thomas A. Louis#Niels Keiding",42,513,2016,11
"Theory and Methods","Comment: A Human Genetics Perspective","Joel A. Mefford#Noah A. Zaitlen#John S. Witte",80,513,2016,12
"Theory and Methods","Comment: Addressing the Need for Portability in Big Data Model Building and Calibration","Chirag J. Patel#Francesca Dominici",87,513,2016,13
"Theory and Methods","Rejoinder","Nilanjan Chatterjee#Yi-Hau Chen#Paige Maas#Raymond J. Carroll",50,513,2016,14
"Theory and Methods","Instrumental Variables Estimation With Some Invalid Instruments and its Application to Mendelian Randomization","Hyunseung Kang#Anru Zhang#T. Tony Cai#Dylan S. Small",327,513,2016,15
"Theory and Methods","Generalizing Quantile Regression for Counting Processes With Applications to Recurrent Events","Xiaoyan Sun#Limin Peng#Yijian Huang#HuiChuan J. Lai",278,513,2016,16
"Theory and Methods","A Potential Tale of Two-by-Two Tables From Completely Randomized Experiments","Peng Ding#Tirthankar Dasgupta",176,513,2016,17
"Theory and Methods","Ultrahigh-Dimensional Multiclass Linear Discriminant Analysis by Pairwise Sure Independence Screening","Rui Pan#Hansheng Wang#Runze Li",350,513,2016,18
"Theory and Methods","Constrained Estimators and Consistency of a Regression Model on a Lexis Diagram","Wenjiang Fu",151,513,2016,19
"Theory and Methods","Statistical Inference in Hidden Markov Models Using k-Segment Constraints","Michalis K. Titsias#Christopher C. Holmes#Christopher Yau",372,513,2016,20
"Theory and Methods","Pairwise Likelihood Inference for Nested Hidden Markov Chain Models for Multilevel Longitudinal Data","Francesco Bartolucci#Monia Lupparelli",180,513,2016,21
"Theory and Methods","Large-Scale Multiple Testing of Correlations","T. Tony Cai#Weidong Liu",422,513,2016,22
"Theory and Methods","Personalized Prediction and Sparsity Pursuit in Latent Factor Models","Yunzhang Zhu#Xiaotong Shen#Changqing Ye",397,513,2016,23
"Theory and Methods","Minimax and Adaptive Estimation of Covariance Operator for Random Variables Observed on a Lattice Graph","T. Tony Cai#Ming Yuan",144,513,2016,24
"Theory and Methods","Estimation and Testing of Varying Coefficients in Quantile Regression","Xingdong Feng#Liping Zhu",476,513,2016,25
"Theory and Methods","Feature Augmentation via Nonparametrics and Selection (FANS) in High-Dimensional Classification","Jianqing Fan#Yang Feng#Jiancheng Jiang#Xin Tong",284,513,2016,26
"Theory and Methods","Spline-Lasso in High-Dimensional Linear Regression","Jianhua Guo#Jianchang Hu#Bing-Yi Jing#Zhen Zhang",626,513,2016,27
"Theory and Methods","Efficient Sequential Monte Carlo With Multiple Proposals and Control Variates","Wentao Li#Rong Chen#Zhiqiang Tan",182,513,2016,28
"Theory and Methods","Stepwise Signal Extraction via Marginal Likelihood","Chao Du#Chu-Lan Michael Kao#S. C. Kou",217,513,2016,29
"Theory and Methods","Hierarchical Testing in the High-Dimensional Setting With Correlated Variables","Jacopo Mandozzi#Peter Bühlmann",308,513,2016,30
"Theory and Methods","Quantile Regression in the Secondary Analysis of Case–Control Data","Ying Wei#Xiaoyu Song#Mengling Liu#Iuliana Ionita-Laza#Joan Reibman",195,513,2016,31
"Theory and Methods","Variable Selection With Prior Information for Generalized Linear Models via the Prior LASSO Method","Yuan Jiang#Yunxiao He#Heping Zhang",522,513,2016,32
"Theory and Methods","An Adaptive Exchange Algorithm for Sampling From Distributions With Intractable Normalizing Constants","Faming Liang#Ick Hoon Jin#Qifan Song#Jun S. Liu",266,513,2016,33
"Theory and Methods","Asymptotically Normal and Efficient Estimation of Covariate-Adjusted Gaussian Graphical Model","Mengjie Chen#Zhao Ren#Hongyu Zhao#Harrison Zhou",226,513,2016,34
"Theory and Methods","Estimating Variance Components in Functional Linear Models With Applications to Genetic Heritability","Matthew Reimherr#Dan Nicolae",211,513,2016,35
"Theory and Methods","Extended MaxT Tests of One-Sided Hypotheses","Zeng-Hua Lu",165,513,2016,36
"Index","Book Reviews","",194,513,2016,37
"Presidential Address","Statistics: Making Better Decisions","David Morganstein",838,512,2015,1
"Applications and Case Studies","Wanna Get Away? Regression Discontinuity Estimation of Exam School Effects Away From the Cutoff","Joshua D. Angrist#Miikka Rokkanen",955,512,2015,2
"Applications and Case Studies","Comment","Michael G. Hudgens",171,512,2015,3
